"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","支払月","7月支払金額","8月繰越残高","8月以降支払金額"
"2025/06/23","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/23","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2840","0","2840","7月","2840","0",""
"2025/06/23","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/23","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/23","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2400","0","2400","7月","2400","0",""
"2025/06/20","マスター国内利用　MYY ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","890","0","890","7月","890","0",""
"2025/06/20","マスター国内利用　MZZ GOOGLE PLAY JAPA","本人","1回払い","1800","0","1800","7月","1800","0",""
"2025/06/20","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1000","0","1000","7月","1000","0",""
"2025/06/20","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1000","0","1000","7月","1000","0",""
"2025/06/20","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","320","0","320","7月","320","0",""
"2025/06/20","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1000","0","1000","7月","1000","0",""
"2025/06/19","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2320","0","2320","7月","2320","0",""
"2025/06/19","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2000","0","2000","7月","2000","0",""
"2025/06/18","マスター国内利用　MYY ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","4680","0","4680","7月","4680","0",""
"2025/06/18","中部電力ミライズ　2506 6307100037490","本人","1回払い","3672","0","3672","7月","3672","0",""
"2025/06/17","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1320","0","1320","7月","1320","0",""
"2025/06/17","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2000","0","2000","7月","2000","0",""
"2025/06/17","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1000","0","1000","7月","1000","0",""
"2025/06/17","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","4000","0","4000","7月","4000","0",""
"2025/06/17","マスター国内利用　MYY ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","840","0","840","7月","840","0",""
"2025/06/16","マスター国内利用　MZZ AMAZON.CO.JP","本人","1回払い","3500","0","3500","7月","3500","0",""
"2025/06/16","ファミリーマート　ﾄﾖﾊｼﾅｶｺﾞｳ","本人","1回払い","213","0","213","7月","213","0",""
"2025/06/16","楽天Ｅｄｙクレカチャージ　        700351","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/06/13","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2720","0","2720","7月","2720","0",""
"2025/06/13","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2400","0","2400","7月","2400","0",""
"2025/06/13","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/13","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/12","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","320","0","320","7月","320","0",""
"2025/06/12","明石吉田屋産業　ｱｶｼﾖｼﾀﾞﾔｻﾝｷﾞｮｳ","本人","1回払い","5162","0","5162","7月","5162","0",""
"2025/06/11","楽天モバイル通信料","本人","1回払い","3281","0","3281","7月","3281","0",""
"2025/06/11","マスター国内利用　MYY ﾔﾏﾅｶ/ﾌﾗﾝﾃ","本人","1回払い","1988","0","1988","7月","1988","0",""
"2025/06/11","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","3700","0","3700","7月","3700","0",""
"2025/06/11","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2400","0","2400","7月","2400","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","160","0","160","7月","160","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","160","0","160","7月","160","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","1200","0","1200","7月","1200","0",""
"2025/06/10","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","2400","0","2400","7月","2400","0",""
"2025/06/09","ナヴィ多摩川ＳＳ","本人","1回払い","435","0","435","7月","435","0",""
"2025/06/09","マスター国内利用　MZZ AMAZONDOWNLOADS","本人","1回払い","429","0","429","7月","429","0",""
"2025/06/08","ニッポンレンタカー　4917556055264 38028","本人","1回払い","7425","0","7425","7月","7425","0",""
"2025/06/08","JRﾋｶﾞｼﾆﾎﾝ ﾐﾄﾞ ﾘﾉﾏﾄﾞ","本人","1回払い","8570","0","8570","7月","8570","0",""
"2025/06/08","マスター国内利用　MYY ｷﾖｽｸ ｼﾅｶﾞﾜｶﾝｾﾝﾐﾅ","本人","1回払い","484","0","484","7月","484","0",""
"2025/06/08","マスター国内利用　MYY ﾄｳｶｲｺｳﾂｳ","本人","1回払い","1030","0","1030","7月","1030","0",""
"2025/06/08","マスター国内利用　MYY ｾﾌﾞﾝ ｲﾚﾌﾞﾝ","本人","1回払い","483","0","483","7月","483","0",""
"2025/06/08","マスター国内利用　MYY ｾﾌﾞﾝ ｲﾚﾌﾞﾝ","本人","1回払い","5590","0","5590","7月","5590","0",""
"2025/06/08","マスター国内利用　MYY ｾﾌﾞﾝ ｲﾚﾌﾞﾝ","本人","1回払い","790","0","790","7月","790","0",""
"2025/06/07","ファミリーマート　ｵｵﾀﾔｸﾞﾁﾉﾜﾀｼｴｷ","本人","1回払い","393","0","393","7月","393","0",""
"2025/06/07","マスター国内利用　MZZ ｼﾌﾞﾔｽｸﾗﾝﾌﾞﾙｽｸｴｱ","本人","1回払い","1300","0","1300","7月","1300","0",""
"2025/06/07","マスター国内利用　MYY ﾖﾄﾞﾊﾞｼｶﾒﾗ ｼﾝｼﾞﾕｸ","本人","1回払い","3632","0","3632","7月","3632","0",""
"2025/06/07","マスター国内利用　MZZ ｺｸｻｲｼﾞﾄﾞｳｼﾔ","本人","1回払い","4100","0","4100","7月","4100","0",""
"2025/06/07","マスター国内利用　MZZ ｻﾌﾞﾅ-ﾄﾞ/NFC","本人","1回払い","18545","0","18545","7月","18545","0",""
"2025/06/07","マスター国内利用　MZZ ﾕﾆｸﾛ/NFC","本人","1回払い","5428","0","5428","7月","5428","0",""
"2025/06/07","マスター国内利用　MZZ ﾀｲｺｸﾘﾖｳﾘﾊﾞﾝﾀｲ/NF","本人","1回払い","7260","0","7260","7月","7260","0",""
"2025/06/07","マスター国内利用　MYY ｾﾌﾞﾝ ｲﾚﾌﾞﾝ","本人","1回払い","810","0","810","7月","810","0",""
"2025/06/07","マスター国内利用　MZZ ﾋﾉﾏﾙｼﾞﾄﾞｳｼﾔ","本人","1回払い","3900","0","3900","7月","3900","0",""
"2025/06/07","Ｓｕｉｃａチャージ（楽天ペイ）　        704388","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/06/06","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","150","0","150","7月","150","0",""
"2025/06/06","マスター国内利用　MZZ JRﾄｳｶｲ(ｲﾂﾊﾟﾝｶ-ﾄﾞ","本人","1回払い","8570","0","8570","7月","8570","0",""
"2025/06/06","楽天Ｅｄｙクレカチャージ　        700426","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/06/05","マスター国内利用　MYY ﾔｷﾀﾃﾉｶﾙﾋﾞ ﾄﾖﾊｼﾊｼ","本人","1回払い","590","0","590","7月","590","0",""
"2025/06/04","ファミリーマート　ﾄﾖﾊｼﾆﾊｼﾗ","本人","1回払い","923","0","923","7月","923","0",""
"2025/06/03","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","480","0","480","7月","480","0",""
"2025/06/03","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","160","0","160","7月","160","0",""
"2025/06/03","マスター国内利用　MZZ APPLE COM BILL","本人","1回払い","160","0","160","7月","160","0",""
"2025/05/30","楽天Ｅｄｙクレカチャージ　        702445","本人","1回払い","3000","0","3000","7月","3000","0",""
"2025/05/26","楽天Ｅｄｙクレカチャージ　        702486","本人","1回払い","3000","0","3000","7月","3000","0",""
